Unidades_Federacao;POPULACAO;REGIAO
Rondônia;1616379;Norte
Acre;829780;Norte
Amazonas;3952262;Norte
Roraima;634805;Norte
Pará;8442962;Norte
Amapá;774268;Norte
Tocantins;1584306;Norte
Maranhão;6800605;Nordeste
Piauí;3270174;Nordeste
Ceará;8936431;Nordeste
Rio Grande Do Norte;3303953;Nordeste
Paraíba;4030961;Nordeste
Pernambuco;9051113;Nordeste
Alagoas;3125254;Nordeste
Sergipe;2211868;Nordeste
Bahia;14659023;Nordeste
Minas Gerais;20732660;Sudeste
Espirito Santo;3975100;Sudeste
Rio De Janeiro;16615526;Sudeste
São Paulo;46024937;Sudeste
Paraná;11835379; Sul
Santa Catarina;7762154; Sul
Rio Grande Do Sul;11088065; Sul
Mato Grosso Do Sul;2833742;Centro-Oeste
Mato Grosso;3784239;Centro-Oeste
Goiás;6950976;Centro-Oeste
Distrito Federal;2923369;Centro-Oeste
